Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,uvvis_rods1_Isadora
Sample ID
Option
Analyst
Date/Time:,11/20/2025 11:28:33 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,1.146
201.0,1.093
202.0,1.003
203.0,0.908
204.0,0.819
205.0,0.741
206.0,0.667
207.0,0.597
208.0,0.536
209.0,0.483
210.0,0.441
211.0,0.404
212.0,0.374
213.0,0.348
214.0,0.329
215.0,0.313
216.0,0.300
217.0,0.289
218.0,0.282
219.0,0.276
220.0,0.272
221.0,0.266
222.0,0.263
223.0,0.260
224.0,0.259
225.0,0.258
226.0,0.259
227.0,0.258
228.0,0.257
229.0,0.257
230.0,0.258
231.0,0.257
232.0,0.254
233.0,0.253
234.0,0.254
235.0,0.254
236.0,0.254
237.0,0.254
238.0,0.253
239.0,0.253
240.0,0.252
241.0,0.253
242.0,0.252
243.0,0.252
244.0,0.252
245.0,0.252
246.0,0.252
247.0,0.252
248.0,0.251
249.0,0.250
250.0,0.250
251.0,0.250
252.0,0.249
253.0,0.249
254.0,0.248
255.0,0.249
256.0,0.247
257.0,0.247
258.0,0.247
259.0,0.247
260.0,0.246
261.0,0.245
262.0,0.244
263.0,0.243
264.0,0.241
265.0,0.241
266.0,0.240
267.0,0.239
268.0,0.238
269.0,0.237
270.0,0.237
271.0,0.236
272.0,0.234
273.0,0.233
274.0,0.232
275.0,0.230
276.0,0.229
277.0,0.228
278.0,0.227
279.0,0.226
280.0,0.225
281.0,0.225
282.0,0.223
283.0,0.222
284.0,0.221
285.0,0.220
286.0,0.220
287.0,0.218
288.0,0.217
289.0,0.216
290.0,0.215
291.0,0.212
292.0,0.211
293.0,0.211
294.0,0.210
295.0,0.209
296.0,0.208
297.0,0.208
298.0,0.207
299.0,0.205
300.0,0.204
301.0,0.204
302.0,0.204
303.0,0.203
304.0,0.201
305.0,0.200
306.0,0.199
307.0,0.198
308.0,0.197
309.0,0.196
310.0,0.194
311.0,0.193
312.0,0.193
313.0,0.192
314.0,0.191
315.0,0.190
316.0,0.189
317.0,0.189
318.0,0.188
319.0,0.186
320.0,0.185
321.0,0.185
322.0,0.183
323.0,0.182
324.0,0.181
325.0,0.181
326.0,0.180
327.0,0.179
328.0,0.178
329.0,0.177
330.0,0.176
331.0,0.174
332.0,0.174
333.0,0.173
334.0,0.172
335.0,0.171
336.0,0.171
337.0,0.171
338.0,0.171
339.0,0.169
340.0,0.168
341.0,0.168
342.0,0.167
343.0,0.167
344.0,0.166
345.0,0.165
346.0,0.165
347.0,0.164
348.0,0.164
349.0,0.164
350.0,0.164
351.0,0.164
